B,candidate_idx,sample_idx,d,rank
100,12,23,4.645051145562244,19
100,13,23,10.005406384735481,24
100,14,23,0.7253620391691336,10
100,15,23,28.819212972807215,28
100,16,23,0.0933647197330991,0
100,17,23,9.28519671007869,23
100,18,23,19.07709791442762,26
100,19,23,0.09509065587212703,1
100,20,23,0.43361777994573464,6
100,21,23,5.998741757806361,20
100,22,23,0.8561841053962892,11
100,23,23,33.648623173319976,29
100,24,23,1.933353161656251,15
100,25,23,7.842695359495776,22
100,26,23,0.30717256651451486,5
100,27,23,0.1226336832832968,4
100,28,23,0.10836298591069249,3
100,29,23,0.4829771392533669,7
100,0,24,1.9336436524166243,14
100,1,24,3.5999903776747355,18
100,2,24,0.43396870596843073,6
100,3,24,11.655478994265025,25
100,4,24,1.8316518454417865,13
100,5,24,21.81600225724982,26
100,6,24,6.737922276322363,21
100,7,24,0.12245949186014801,2
100,8,24,2.8099272761949474,16
100,9,24,3.530209125391314,17
100,10,24,0.4815261824192401,8
100,11,24,1.2714612223266322,12
100,12,24,4.047552070197712,19
100,13,24,10.089059770712485,23
100,14,24,0.6223864861988968,10
100,15,24,29.766431328839186,28
100,16,24,0.07670641708361067,0
100,17,24,10.826693622000562,24
100,18,24,23.334183278571718,27
100,19,24,0.09325226096772779,1
100,20,24,0.47857393647672264,7
100,21,24,6.508667430942799,20
100,22,24,1.18819704479046,11
100,23,24,34.70346893213895,29
100,24,24,2.0892182255152427,15
100,25,24,7.18628427916495,22
100,26,24,0.36976338876950454,5
100,27,24,0.12414850326233236,3
100,28,24,0.12919189873209888,4
100,29,24,0.5388612969798623,9
100,0,25,1.9283156172736589,14
100,1,25,4.409533944060321,18
100,2,25,0.4043549829893346,6
100,3,25,11.574395450785424,24
100,4,25,1.7509365216353796,13
100,5,25,19.992047836193613,27
100,6,25,6.333108326860723,20
100,7,25,0.10660073720460819,1
100,8,25,3.20086715914994,16
100,9,25,4.107025649176023,17
100,10,25,0.5107107040688128,7
100,11,25,1.3369627036740175,12
100,12,25,4.920184433170631,19
100,13,25,12.751694733090375,25
100,14,25,0.7699748722347366,10
100,15,25,28.036173944815786,28
100,16,25,0.11026200967685137,2
100,17,25,10.541505024249819,23
100,18,25,18.843764936334082,26
100,19,25,0.09324489068402556,0
100,20,25,0.5848921732525723,8
100,21,25,6.809827441756088,21
100,22,25,1.1832813566905802,11
100,23,25,33.54713788143266,29
100,24,25,2.0957581059862167,15
100,25,25,8.443682814390279,22
100,26,25,0.31820737443808106,5
100,27,25,0.11101459659531954,3
100,28,25,0.11189442765125324,4
100,29,25,0.5931136142653803,9
100,0,26,2.1106674714704345,14
100,1,26,3.8821506394324032,17
100,2,26,0.4148343334414244,6
100,3,26,10.203242431434802,24
100,4,26,1.7501443660585907,13
100,5,26,20.68263808357513,26
100,6,26,7.256354383870199,20
100,7,26,0.10652317961369195,3
100,8,26,3.093798655564354,16
100,9,26,4.109141736763668,18
100,10,26,0.46008328826822187,7
100,11,26,1.1897200769273564,12
100,12,26,4.969646097403716,19
100,13,26,11.628672357397893,25
100,14,26,0.7929298550701593,10
100,15,26,23.538919284175897,28
100,16,26,0.1042923425929154,1
100,17,26,9.293607898846705,22
100,18,26,22.186617763991414,27
100,19,26,0.10162467274941321,0
100,20,26,0.5380691513063931,8
100,21,26,7.700483462116825,21
100,22,26,1.163168496353053,11
100,23,26,27.409239362354356,29
100,24,26,2.229612963950065,15
100,25,26,9.841639125332879,23
100,26,26,0.3424128197488,5
100,27,26,0.11023482455562192,4
100,28,26,0.10530505238883228,2
100,29,26,0.6061054938225614,9
100,0,27,1.6796366906637172,14
100,1,27,3.5298781563073818,17
100,2,27,0.3615811278451755,6
100,3,27,12.453478828254468,25
100,4,27,1.5291020980516175,13
100,5,27,19.396396430547554,26
100,6,27,5.549558306796468,20
100,7,27,0.10407801328960889,2
100,8,27,3.3942058550460548,16
100,9,27,3.5979811407149622,18
100,10,27,0.42863069453458036,7
100,11,27,1.152817619709492,12
100,12,27,5.378955176058263,19
100,13,27,12.057611237218737,24
100,14,27,0.7230756714984921,10
100,15,27,21.918847728239484,28
100,16,27,0.0955688946588078,1
100,17,27,8.661411709604291,22
100,18,27,19.84907411457103,27
100,19,27,0.0832961094290341,0
100,20,27,0.4554704390682519,8
100,21,27,6.9932754786574005,21
100,22,27,1.0473247924141709,11
100,23,27,29.94450703574217,29
100,24,27,2.168374408708646,15
100,25,27,8.8105391686913,23
100,26,27,0.298181568808023,5
100,27,27,0.1140145911235288,4
100,28,27,0.10599822961893784,3
100,29,27,0.46315438488028926,9
100,0,28,2.0156469759817632,14
100,1,28,3.633377417007164,17
